Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
1,2020-01-05,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
2,2020-01-06,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
3,2020-01-07,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
4,2020-01-08,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
5,2020-01-09,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
6,2020-01-10,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
7,2020-01-11,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
8,2020-01-12,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
9,2020-01-13,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
10,2020-01-14,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
11,2020-01-15,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
12,2020-01-16,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
13,2020-01-17,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
14,2020-01-18,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
15,2020-01-19,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
16,2020-01-20,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
17,2020-01-21,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
18,2020-01-22,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
19,2020-01-23,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
20,2020-01-24,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
21,2020-01-25,1.0,0.0,0.0,0.0,67813000.0,0.0,0.0,0.0,0.0,0.0,5.98
22,2020-01-26,0.9999999936800992,6.319900735425783e-09,0.0,0.0,67812999.57142857,0.42857142857142855,0.0,0.0,0.0,0.0,5.98
23,2020-01-27,0.9999999873601986,1.2639801470851565e-08,0.0,0.0,67812999.14285715,0.8571428571428571,0.0,0.0,0.0,0.0,5.98
24,2020-01-28,0.9999999810402979,1.895970220627735e-08,0.0,0.0,67812998.71428572,1.2857142857142858,0.0,0.0,0.0,0.0,5.98
25,2020-01-29,0.999999974720397,2.527960294170313e-08,0.0,0.0,67812998.28571428,1.7142857142857142,0.0,0.0,0.0,0.0,5.98
26,2020-01-30,0.9999999684004963,3.1599503677128913e-08,0.0,0.0,67812997.85714285,2.142857142857143,0.0,0.0,0.0,0.0,5.98
27,2020-01-31,0.9999999620805956,3.79194044125547e-08,0.0,0.0,67812997.42857143,2.5714285714285716,0.0,0.0,0.0,0.0,5.98
28,2020-02-01,0.9999999557606949,4.423930514798048e-08,0.0,0.0,67812997.0,3.0,0.0,0.0,0.0,0.0,5.98
29,2020-02-02,0.9999999494407942,5.055920588340626e-08,0.0,0.0,67812996.57142857,3.4285714285714284,0.0,0.0,0.0,0.0,5.98
30,2020-02-03,0.9999999431208934,5.687910661883205e-08,0.0,0.0,67812996.14285715,3.857142857142857,0.0,0.0,0.0,0.0,5.98
31,2020-02-04,0.9999999368009928,6.319900735425783e-08,0.0,0.0,67812995.71428572,4.285714285714286,0.0,0.0,0.0,0.0,5.98
32,2020-02-05,0.9999999304810919,6.951890808968361e-08,0.0,0.0,67812995.28571428,4.714285714285714,0.0,0.0,0.0,0.0,5.98
33,2020-02-06,0.9999999241611911,7.58388088251094e-08,0.0,0.0,67812994.85714285,5.142857142857143,0.0,0.0,0.0,0.0,5.98
34,2020-02-07,0.9999999178412905,8.215870956053517e-08,0.0,0.0,67812994.42857143,5.571428571428571,0.0,0.0,0.0,0.0,5.98
35,2020-02-08,0.9999999115213897,8.847861029596096e-08,0.0,0.0,67812994.0,6.0,0.0,0.0,0.0,0.0,5.98
36,2020-02-09,0.9999998988815884,9.479851103138673e-08,6.319900735425783e-09,0.0,67812993.14285715,6.428571428571429,0.42857142857142855,0.0,0.0,0.0,5.98
37,2020-02-10,0.9999998862417867,1.0111841176681252e-07,1.2639801470851565e-08,0.0,67812992.28571428,6.857142857142857,0.8571428571428571,0.0,0.0,0.0,5.98
38,2020-02-11,0.9999998736019853,1.074383125022383e-07,1.895970220627735e-08,0.0,67812991.42857143,7.285714285714286,1.2857142857142858,0.0,0.0,0.0,5.98
39,2020-02-12,0.9999998609621839,1.1375821323766409e-07,2.527960294170313e-08,0.0,67812990.57142857,7.714285714285714,1.7142857142857142,0.0,0.0,0.0,5.98
40,2020-02-13,0.9999998483223823,1.2007811397308986e-07,3.1599503677128913e-08,0.0,67812989.71428572,8.142857142857142,2.142857142857143,0.0,0.0,0.0,5.98
41,2020-02-14,0.9999998356825809,1.2639801470851565e-07,3.79194044125547e-08,0.0,67812988.85714285,8.571428571428571,2.5714285714285716,0.0,0.0,0.0,5.98
42,2020-02-15,0.9999998230427795,1.3271791544394142e-07,4.423930514798048e-08,0.0,67812988.0,9.0,3.0,0.0,0.0,0.0,5.98
43,2020-02-16,0.9999998230427795,1.2639801470851565e-07,5.055920588340626e-08,0.0,67812988.0,8.571428571428571,3.4285714285714284,0.0,0.0,0.0,5.98
44,2020-02-17,0.9999998230427795,1.2007811397308986e-07,5.687910661883205e-08,0.0,67812988.0,8.142857142857142,3.857142857142857,0.0,0.0,0.0,5.98
45,2020-02-18,0.9999998230427795,1.1375821323766409e-07,6.319900735425783e-08,0.0,67812988.0,7.714285714285714,4.285714285714286,0.0,0.0,0.0,5.98
46,2020-02-19,0.9999998230427795,1.074383125022383e-07,6.951890808968361e-08,0.0,67812988.0,7.285714285714286,4.714285714285714,0.0,0.0,0.0,5.98
47,2020-02-20,0.9999998230427795,1.0111841176681252e-07,7.58388088251094e-08,0.0,67812988.0,6.857142857142857,5.142857142857143,0.0,0.0,0.0,5.98
48,2020-02-21,0.9999998230427795,9.479851103138673e-08,8.215870956053517e-08,0.0,67812988.0,6.428571428571429,5.571428571428571,0.0,0.0,0.0,5.98
49,2020-02-22,0.9999998230427795,8.847861029596096e-08,8.847861029596096e-08,0.0,67812988.0,6.0,6.0,0.0,0.0,0.0,5.98
50,2020-02-23,0.9999998146162451,8.426534313901044e-08,1.0111841176681252e-07,0.0,67812987.42857143,5.714285714285714,6.857142857142857,0.0,0.0,0.0,5.98
51,2020-02-24,0.999999806189711,8.005207598205991e-08,1.1375821323766409e-07,0.0,67812986.85714285,5.428571428571429,7.714285714285714,0.0,0.0,0.0,5.98
52,2020-02-25,0.9999997977631765,7.583880882510938e-08,1.2639801470851565e-07,0.0,67812986.28571428,5.142857142857143,8.571428571428571,0.0,0.0,0.0,5.98
53,2020-02-26,0.9999997893366421,7.162554166815886e-08,1.3903781617936722e-07,0.0,67812985.71428572,4.857142857142857,9.428571428571429,0.0,0.0,0.0,5.98
54,2020-02-27,0.9999997809101079,6.741227451120835e-08,1.5167761765021876e-07,0.0,67812985.14285715,4.571428571428571,10.285714285714286,0.0,0.0,0.0,5.98
55,2020-02-28,0.9999997724835735,6.319900735425783e-08,1.6431741912107032e-07,0.0,67812984.57142857,4.285714285714286,11.142857142857142,0.0,0.0,0.0,5.98
56,2020-02-29,0.9999997640570392,5.89857401973073e-08,1.7695722059192191e-07,0.0,67812984.0,4.0,12.0,0.0,0.0,0.0,5.98
57,2020-03-01,0.9999997640570392,5.89857401973073e-08,1.7695722059192191e-07,0.0,67812984.0,4.0,12.0,0.0,0.0,0.0,5.98
58,2020-03-02,0.9999997640570392,5.89857401973073e-08,1.7695722059192191e-07,0.0,67812984.0,4.0,12.0,0.0,0.0,0.0,5.98
59,2020-03-03,0.9999997640570392,5.89857401973073e-08,1.7695722059192191e-07,0.0,67812984.0,4.0,12.0,0.0,0.0,0.0,5.98
60,2020-03-04,0.9999997640570392,5.89857401973073e-08,1.7695722059192191e-07,0.0,67812984.0,4.0,12.0,0.0,0.0,0.0,5.98
61,2020-03-05,0.9999997640570392,5.89857401973073e-08,1.7695722059192191e-07,0.0,67812984.0,4.0,12.0,0.0,0.0,0.0,5.98
62,2020-03-06,0.9999997640570392,5.89857401973073e-08,1.7695722059192191e-07,0.0,67812984.0,4.0,12.0,0.0,0.0,0.0,5.98
63,2020-03-07,0.9999997640570392,5.89857401973073e-08,1.7695722059192191e-07,0.0,67812984.0,4.0,12.0,0.0,0.0,0.0,5.98
64,2020-03-08,0.9999997640570392,5.055920588340626e-08,1.8538375490582293e-07,0.0,67812984.0,3.4285714285714284,12.571428571428571,0.0,0.0,0.0,5.98
65,2020-03-09,0.9999997640570392,4.213267156950522e-08,1.93810289219724e-07,0.0,67812984.0,2.857142857142857,13.142857142857142,0.0,0.0,0.0,5.98
66,2020-03-10,0.9999997640570392,3.3706137255604174e-08,2.0223682353362502e-07,0.0,67812984.0,2.2857142857142856,13.714285714285714,0.0,0.0,0.0,5.98
67,2020-03-11,0.9999997640570392,2.527960294170313e-08,2.1066335784752606e-07,0.0,67812984.0,1.7142857142857142,14.285714285714286,0.0,0.0,0.0,5.98
68,2020-03-12,0.9999997640570392,1.6853068627802084e-08,2.190898921614271e-07,0.0,67812984.0,1.1428571428571428,14.857142857142858,0.0,0.0,0.0,5.98
69,2020-03-13,0.9999997640570392,8.426534313901042e-09,2.2751642647532818e-07,0.0,67812984.0,0.5714285714285714,15.428571428571429,0.0,0.0,0.0,5.98
70,2020-03-14,0.9999997640570392,0.0,2.359429607892292e-07,0.0,67812984.0,0.0,16.0,0.0,0.0,0.0,5.98
71,2020-03-15,0.9999997071779324,0.0,2.0223682353362505e-07,9.058524387443622e-08,67812980.14285715,0.0,13.714285714285714,6.142857142857143,0.0,0.0,5.98
72,2020-03-16,0.999999650298826,0.0,1.6853068627802087e-07,1.8117048774887244e-07,67812976.28571428,0.0,11.428571428571429,12.285714285714286,0.0,0.0,5.98
73,2020-03-17,0.9999995934197193,0.0,1.3482454902241667e-07,2.7175573162330864e-07,67812972.42857143,0.0,9.142857142857142,18.428571428571427,0.0,0.0,5.98
74,2020-03-18,0.9999995365406127,0.0,1.0111841176681251e-07,3.6234097549774487e-07,67812968.57142857,0.0,6.857142857142857,24.571428571428573,0.0,0.0,5.98
75,2020-03-19,0.999999479661506,0.0,6.741227451120834e-08,4.5292621937218105e-07,67812964.71428572,0.0,4.571428571428571,30.714285714285715,0.0,0.0,5.98
76,2020-03-20,0.9999994227823995,0.0,3.370613725560417e-08,5.435114632466173e-07,67812960.85714285,0.0,2.2857142857142856,36.857142857142854,0.0,0.0,5.98
77,2020-03-21,0.9999993659032929,0.0,0.0,6.340967071210535e-07,67812957.0,0.0,0.0,43.0,0.0,0.0,5.98
78,2020-03-22,0.9999979544587952,0.0,0.0,2.0455412046994782e-06,67812861.28571428,0.0,0.0,138.71428571428572,0.0,0.0,5.98
79,2020-03-23,0.9999965430142976,0.0,0.0,3.456985702277903e-06,67812765.57142857,0.0,0.0,234.42857142857142,0.0,0.0,5.98
80,2020-03-24,0.9999951315698002,0.0,0.0,4.868430199856328e-06,67812669.85714285,0.0,0.0,330.14285714285717,0.0,0.0,5.98
81,2020-03-25,0.9999937201253025,0.0,0.0,6.279874697434753e-06,67812574.14285715,0.0,0.0,425.85714285714283,0.0,0.0,5.98
82,2020-03-26,0.999992308680805,0.0,0.0,7.691319195013177e-06,67812478.42857143,0.0,0.0,521.5714285714286,0.0,0.0,5.98
83,2020-03-27,0.9999908972363073,0.0,0.0,9.102763692591601e-06,67812382.71428572,0.0,0.0,617.2857142857143,0.0,0.0,5.98
84,2020-03-28,0.9999894857918098,0.0,0.0,1.0514208190170027e-05,67812287.0,0.0,0.0,713.0,0.0,0.0,5.98
85,2020-03-29,0.9999852746312864,0.0,0.0,1.4725368713542073e-05,67812001.42857143,0.0,0.0,998.5714285714286,0.0,0.0,5.98
86,2020-03-30,0.9999810634707631,0.0,0.0,1.893652923691412e-05,67811715.85714285,0.0,0.0,1284.142857142857,0.0,0.0,5.98
87,2020-03-31,0.9999768523102396,0.0,0.0,2.3147689760286164e-05,67811430.28571428,0.0,0.0,1569.7142857142858,0.0,0.0,5.98
88,2020-04-01,0.9999726411497163,0.0,0.0,2.735885028365821e-05,67811144.71428572,0.0,0.0,1855.2857142857142,0.0,0.0,5.98
89,2020-04-02,0.9999684299891929,0.0,0.0,3.1570010807030256e-05,67810859.14285715,0.0,0.0,2140.8571428571427,0.0,0.0,5.98
90,2020-04-03,0.9999642188286695,0.0,0.0,3.578117133040231e-05,67810573.57142857,0.0,0.0,2426.4285714285716,0.0,0.0,5.98
