Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
1,2020-01-05,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
2,2020-01-06,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
3,2020-01-07,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
4,2020-01-08,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
5,2020-01-09,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
6,2020-01-10,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
7,2020-01-11,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
8,2020-01-12,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
9,2020-01-13,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
10,2020-01-14,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
11,2020-01-15,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
12,2020-01-16,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
13,2020-01-17,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
14,2020-01-18,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
15,2020-01-19,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
16,2020-01-20,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
17,2020-01-21,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
18,2020-01-22,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
19,2020-01-23,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
20,2020-01-24,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
21,2020-01-25,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
22,2020-01-26,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
23,2020-01-27,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
24,2020-01-28,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
25,2020-01-29,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
26,2020-01-30,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
27,2020-01-31,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
28,2020-02-01,1.0,0.0,0.0,0.0,59037472.0,0.0,0.0,0.0,0.0,0.0,3.18
29,2020-02-02,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
30,2020-02-03,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
31,2020-02-04,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
32,2020-02-05,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
33,2020-02-06,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
34,2020-02-07,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
35,2020-02-08,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
36,2020-02-09,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
37,2020-02-10,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
38,2020-02-11,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
39,2020-02-12,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
40,2020-02-13,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
41,2020-02-14,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
42,2020-02-15,0.999999949184816,5.081518395638621e-08,0.0,0.0,59037469.0,3.0,0.0,0.0,0.0,0.0,3.18
43,2020-02-16,0.999999949184816,0.0,5.081518395638621e-08,0.0,59037469.0,0.0,3.0,0.0,0.0,0.0,3.18
44,2020-02-17,0.999999949184816,0.0,5.081518395638621e-08,0.0,59037469.0,0.0,3.0,0.0,0.0,0.0,3.18
45,2020-02-18,0.999999949184816,0.0,5.081518395638621e-08,0.0,59037469.0,0.0,3.0,0.0,0.0,0.0,3.18
46,2020-02-19,0.999999949184816,0.0,5.081518395638621e-08,0.0,59037469.0,0.0,3.0,0.0,0.0,0.0,3.18
