I,D,R,date,S
57125,4779,11053,2020-04-01,66927043
59227,5388,12548,2020-04-02,66922837
64452,6510,14135,2020-04-03,66914903
64452,7562,15572,2020-04-04,66912414
64452,8081,16349,2020-04-05,66911118
64452,8914,17428,2020-04-06,66909206
64452,10330,19523,2020-04-07,66905695
64452,10874,21452,2020-04-08,66903222
64452,12214,23413,2020-04-09,66899921
64452,13199,25195,2020-04-10,66897154
64452,13835,26663,2020-04-11,66895050
108792,14396,27469,2020-04-12,66849343
111933,14969,28001,2020-04-13,66845097
129381,15712,28805,2020-04-14,66826102
132588,17150,30955,2020-04-15,66819307
145166,17903,32812,2020-04-16,66804119
147057,18664,34420,2020-04-17,66799859
150861,19305,35983,2020-04-18,66793851
151955,19694,36578,2020-04-19,66791773
154402,20241,37409,2020-04-20,66787948
157068,20769,39181,2020-04-21,66782982
158867,21313,40657,2020-04-22,66779163
158867,21829,42088,2020-04-23,66777216
159969,22218,43493,2020-04-24,66774320
161647,22587,44594,2020-04-25,66771172
162280,22830,44903,2020-04-26,66769987
165966,23267,45513,2020-04-27,66765254
169098,23634,46886,2020-04-28,66760382
169098,24060,48228,2020-04-29,66758614
169098,24349,49476,2020-04-30,66757077
169387,24566,50212,2020-05-01,66755835
170179,24763,50663,2020-05-02,66754395
170540,24898,50885,2020-05-03,66753677
171102,25204,51476,2020-05-04,66752218
172219,25537,52842,2020-05-05,66749402
176355,25812,54079,2020-05-06,66743754
177096,25991,55191,2020-05-07,66741722
177627,26233,55892,2020-05-08,66740248
178155,26313,56148,2020-05-09,66739384
178404,26383,56327,2020-05-10,66738886
178719,26646,56835,2020-05-11,66737800
179472,26994,57898,2020-05-12,66735636
179993,27079,58786,2020-05-13,66734142
180635,27430,59719,2020-05-14,66732216
181148,27532,60562,2020-05-15,66730758
181563,27630,60562,2020-05-16,66730245
181703,28113,61327,2020-05-17,66728857
182147,28242,61843,2020-05-18,66727768
182648,28242,62678,2020-05-19,66726432
183129,28242,63472,2020-05-20,66725157
183396,28242,63976,2020-05-21,66724386
184152,28366,64327,2020-05-22,66723155
184698,28452,64665,2020-05-23,66722185
184698,28452,64735,2020-05-24,66722115
184698,28461,65317,2020-05-25,66721524
184839,28598,65997,2020-05-26,66720566
185012,28599,66702,2020-05-27,66719687
188355,28666,67309,2020-05-28,66715670
188949,28717,67921,2020-05-29,66714413
190743,28774,68386,2020-05-30,66712097
190975,28805,68473,2020-05-31,66711747
191382,28837,68558,2020-06-01,66711223
191382,28943,68930,2020-06-02,66710745
191382,29024,69573,2020-06-03,66710021
191869,29069,70094,2020-06-04,66708968
192450,29114,70622,2020-06-05,66707814
193022,29145,70924,2020-06-06,66706909
193363,29158,70961,2020-06-07,66706518
193637,29213,71182,2020-06-08,66705968
194190,29301,71626,2020-06-09,66704883
194815,29322,71952,2020-06-10,66703911
195179,29349,72269,2020-06-11,66703203
195980,29377,72695,2020-06-12,66701948
196477,29401,72931,2020-06-13,66701191
196867,29411,72982,2020-06-14,66700740
197003,29439,73168,2020-06-15,66700390
197666,29553,73459,2020-06-16,66699322
198155,29578,73791,2020-06-17,66698476
198741,29606,74011,2020-06-18,66697642
199528,29620,74241,2020-06-19,66696611
200147,29638,74436,2020-06-20,66695779
200490,29644,74496,2020-06-21,66695370
200632,29668,74736,2020-06-22,66694964
201330,29722,74995,2020-06-23,66693953
201598,29735,75251,2020-06-24,66693416
201853,29754,75475,2020-06-25,66692918
203116,29780,75773,2020-06-26,66691331
203564,29781,75773,2020-06-27,66690882
203564,29781,75774,2020-06-28,66690881
203802,29816,76124,2020-06-29,66690258
204244,29846,76399,2020-06-30,66689511
205234,29865,76674,2020-07-01,66688227
205773,29878,76927,2020-07-02,66687422
206312,29896,77185,2020-07-03,66686607
206670,29896,77185,2020-07-04,66686249
206682,29896,77185,2020-07-05,66686237
