Jour,Susceptibles,Infectes,Retablis,Deces,Date
0,66927043,57125,11053,4779,2020-04-01
1,66922837,59227,12548,5388,2020-04-02
2,66914903,64452,14135,6510,2020-04-03
3,66929490,47376,15572,7562,2020-04-04
4,66927345,48225,16349,8081,2020-04-05
5,66922774,50884,17428,8914,2020-04-06
6,66922752,47395,19523,10330,2020-04-07
7,66916424,51250,21452,10874,2020-04-08
8,66909339,55034,23413,12214,2020-04-09
9,66905006,56600,25195,13199,2020-04-10
10,66901457,58045,26663,13835,2020-04-11
11,66849343,108792,27469,14396,2020-04-12
12,66845097,111933,28001,14969,2020-04-13
13,66826102,129381,28805,15712,2020-04-14
14,66819307,132588,30955,17150,2020-04-15
15,66804119,145166,32812,17903,2020-04-16
16,66799859,147057,34420,18664,2020-04-17
17,66793851,150861,35983,19305,2020-04-18
18,66791773,151955,36578,19694,2020-04-19
19,66787948,154402,37409,20241,2020-04-20
20,66782982,157068,39181,20769,2020-04-21
21,66779163,158867,40657,21313,2020-04-22
22,66778925,157158,42088,21829,2020-04-23
23,66774320,159969,43493,22218,2020-04-24
24,66771172,161647,44594,22587,2020-04-25
25,66769987,162280,44903,22830,2020-04-26
26,66765254,165966,45513,23267,2020-04-27
27,66760382,169098,46886,23634,2020-04-28
28,66760069,167643,48228,24060,2020-04-29
29,66757314,168861,49476,24349,2020-04-30
30,66755835,169387,50212,24566,2020-05-01
31,66754395,170179,50663,24763,2020-05-02
32,66753677,170540,50885,24898,2020-05-03
33,66752218,171102,51476,25204,2020-05-04
34,66749402,172219,52842,25537,2020-05-05
35,66743754,176355,54079,25812,2020-05-06
36,66741722,177096,55191,25991,2020-05-07
37,66740248,177627,55892,26233,2020-05-08
38,66739384,178155,56148,26313,2020-05-09
39,66738886,178404,56327,26383,2020-05-10
40,66737800,178719,56835,26646,2020-05-11
41,66735636,179472,57898,26994,2020-05-12
42,66734142,179993,58786,27079,2020-05-13
43,66732216,180635,59719,27430,2020-05-14
44,66730758,181148,60562,27532,2020-05-15
45,66730245,181563,60562,27630,2020-05-16
46,66728857,181703,61327,28113,2020-05-17
47,66727768,182147,61843,28242,2020-05-18
48,66726432,182648,62678,28242,2020-05-19
49,66725157,183129,63472,28242,2020-05-20
50,66724386,183396,63976,28242,2020-05-21
51,66723155,184152,64327,28366,2020-05-22
52,66722185,184698,64665,28452,2020-05-23
53,66722554,184259,64735,28452,2020-05-24
54,66721638,184584,65317,28461,2020-05-25
55,66720566,184839,65997,28598,2020-05-26
56,66719687,185012,66702,28599,2020-05-27
57,66715670,188355,67309,28666,2020-05-28
58,66714413,188949,67921,28717,2020-05-29
59,66712097,190743,68386,28774,2020-05-30
60,66711747,190975,68473,28805,2020-05-31
61,66711223,191382,68558,28837,2020-06-01
62,66711392,190735,68930,28943,2020-06-02
63,66713894,187509,69573,29024,2020-06-03
64,66708968,191869,70094,29069,2020-06-04
65,66707814,192450,70622,29114,2020-06-05
66,66706909,193022,70924,29145,2020-06-06
67,66706518,193363,70961,29158,2020-06-07
68,66705968,193637,71182,29213,2020-06-08
69,66704883,194190,71626,29301,2020-06-09
70,66703911,194815,71952,29322,2020-06-10
71,66703203,195179,72269,29349,2020-06-11
72,66701948,195980,72695,29377,2020-06-12
73,66701191,196477,72931,29401,2020-06-13
74,66700740,196867,72982,29411,2020-06-14
75,66700390,197003,73168,29439,2020-06-15
76,66699322,197666,73459,29553,2020-06-16
77,66698476,198155,73791,29578,2020-06-17
78,66697642,198741,74011,29606,2020-06-18
79,66696611,199528,74241,29620,2020-06-19
80,66695779,200147,74436,29638,2020-06-20
81,66695370,200490,74496,29644,2020-06-21
82,66694964,200632,74736,29668,2020-06-22
83,66693953,201330,74995,29722,2020-06-23
84,66693416,201598,75251,29735,2020-06-24
85,66692918,201853,75475,29754,2020-06-25
86,66691331,203116,75773,29780,2020-06-26
87,66690882,203564,75773,29781,2020-06-27
88,66691288,203157,75774,29781,2020-06-28
89,66690258,203802,76124,29816,2020-06-29
90,66689511,204244,76399,29846,2020-06-30
91,66688227,205234,76674,29865,2020-07-01
92,66687422,205773,76927,29878,2020-07-02
93,66686607,206312,77185,29896,2020-07-03
94,66686249,206670,77185,29896,2020-07-04
95,66686237,206682,77185,29896,2020-07-05
96,66684931,207700,77444,29925,2020-07-06
97,66684130,208154,77780,29936,2020-07-07
98,66683277,208976,77780,29967,2020-07-08
99,66682302,209420,78295,29983,2020-07-09
100,66681343,210135,78513,30009,2020-07-10
101,66681089,210386,78513,30012,2020-07-11
102,66681073,210402,78513,30012,2020-07-12
103,66679418,211825,78722,30035,2020-07-13
104,66679354,211887,78722,30037,2020-07-14
105,66678316,212614,78945,30125,2020-07-15
106,66677514,213183,79161,30142,2020-07-16
107,66676465,214009,79371,30155,2020-07-17
108,66676297,214174,79371,30158,2020-07-18
109,66676293,214178,79371,30158,2020-07-19
110,66674061,216089,79668,30182,2020-07-20
111,66673273,216684,79861,30182,2020-07-21
112,66672129,217605,80084,30182,2020-07-22
113,66670373,218841,80600,30186,2020-07-23
114,66668929,219932,80943,30196,2020-07-24
115,66668843,220016,80945,30196,2020-07-25
116,66668839,220020,80945,30196,2020-07-26
117,66666066,222508,81212,30214,2020-07-27
118,66665260,223072,81441,30227,2020-07-28
119,66663774,224542,81443,30241,2020-07-29
120,66662175,225936,81632,30257,2020-07-30
121,66660729,227239,81764,30268,2020-07-31
122,66660667,227301,81764,30268,2020-08-01
123,66660664,227304,81764,30268,2020-08-02
124,66657273,230665,81764,30298,2020-08-03
125,66656300,231636,81764,30300,2020-08-04
126,66654047,233344,82298,30311,2020-08-05
127,66652148,234945,82592,30315,2020-08-06
128,66649372,237332,82968,30328,2020-08-07
129,66649301,237402,82968,30329,2020-08-08
130,66649292,237408,82971,30329,2020-08-09
131,66644517,242168,82971,30344,2020-08-10
132,66643096,243576,82971,30357,2020-08-11
133,66639835,246180,83609,30376,2020-08-12
134,66637145,248850,83612,30393,2020-08-13
135,66633831,251764,83993,30412,2020-08-14
136,66630620,254974,83993,30413,2020-08-15
137,66627598,257994,83993,30415,2020-08-16
138,66626723,258629,84214,30434,2020-08-17
139,66624582,260748,84214,30456,2020-08-18
140,66620777,264535,84214,30474,2020-08-19
141,66615966,269335,84214,30485,2020-08-20
142,66610221,274289,84981,30509,2020-08-21
